Node:4  Pagerank:0.13701892656201903
Node:34  Pagerank:0.12322329766670373
Node:0  Pagerank:0.11223154440443459
Node:20  Pagerank:0.07803985525030428
Node:146  Pagerank:0.05782623228094439
Node:2  Pagerank:0.04791122663642405
Node:12  Pagerank:0.020015516296478457
Node:14  Pagerank:0.01790127149632845
Node:16  Pagerank:0.013144622943759985
Node:6  Pagerank:0.013107154830238575
